Model,Training Time (s),Accuracy,Precision,Recall
SVM,9.379117727279663,0.6908182386008744,0.6921377995045707,0.691591798369292
KNN,0.004148244857788086,0.5840099937539038,0.6178496414564907,0.5897092393256076
Decision Tree,6.789161443710327,0.5608994378513429,0.5617791299609481,0.5616035711943641
